Number,Character
505,"U_BASE 2, SUPPLY 2, SUPPLY 1, TEMPLE 1, U_SPLY 1, U_BASE 1, SUPPLY 1, SUPPLY 1, U_SPLY 2, SUPPLY 1, SUPPLY 1, SUPPLY 1, SUPPLY 2, SUPPLY 2, U_BASE 2, SUPPLY 2, SUPPLY 2, U_BASE 2, SUPPLY 2, "
,"TEMPLE 1, "
518,"U_BASE 1, SUPPLY 1, SUPPLY 1, TEMPLE 1, SUPPLY 1, U_SPLY 1, U_SPLY 1, U_BASE 2, U_BASE 2, U_BASE 2, SUPPLY 1, SUPPLY 2, U_SPLY 1, U_SPLY 2, "
504,"TEMPLE 1, SUPPLY 1, U_BASE 1, SUPPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 1, U_SPLY 1, U_BASE 2, U_SPLY 1, SUPPLY 1, SUPPLY 2, U_BASE 2, "
541,"TEMPLE 1, SUPPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 1, SUPPLY 1, SUPPLY 1, U_BASE 1, SUPPLY 1, U_BASE 2, U_SPLY 1, "
547,"U_BASE 1, SUPPLY 1, U_BASE 2, SUPPLY 2, TEMPLE 1, U_SPLY 2, U_SPLY 1, SUPPLY 1, SUPPLY 2, U_SPLY 1, SUPPLY 2, SUPPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 1, SUPPLY 1, "
963,"SUPPLY 1, TEMPLE 1, "
609,"U_BASE 2, SUPPLY 1, U_BASE 2, U_BASE 1, SUPPLY 2, SUPPLY 2, U_BASE 2, SUPPLY 1, SUPPLY 2, SUPPLY 1, TEMPLE 1, U_SPLY 1, U_SPLY 2, SUPPLY 1, U_SPLY 1, U_SPLY 2, SUPPLY 2, U_SPLY 2, SUPPLY 2, SUPPLY 1, SUPPLY 2, SUPPLY 1, "
678,"U_BASE 1, SUPPLY 1, U_BASE 2, TEMPLE 1, SUPPLY 2, U_SPLY 1, SUPPLY 2, SUPPLY 1, U_BASE 2, SUPPLY 1, U_SPLY 2, SUPPLY 2, SUPPLY 2, U_SPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 2, U_SPLY 1, U_BASE 2, SUPPLY 1, SUPPLY 1, "
498,"SUPPLY 1, TEMPLE 1, U_SPLY 1, SUPPLY 1, U_BASE 1, U_SPLY 1, SUPPLY 1, U_BASE 2, SUPPLY 2, U_SPLY 1, U_BASE 2, U_BASE 2, SUPPLY 2, SUPPLY 1, SUPPLY 2, SUPPLY 1, SUPPLY 1, U_SPLY 2, SUPPLY 2, SUPPLY 2, "
709,"TEMPLE 1, SUPPLY 1, U_BASE 2, SUPPLY 2, U_SPLY 1, U_BASE 2, U_BASE 2, "
522,"U_BASE 2, SUPPLY 1, TEMPLE 2, SUPPLY 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, U_BASE 2, U_BASE 2, SUPPLY 2, U_BASE 1, SUPPLY 2, U_SPLY 2, "
504,"U_BASE 2, SUPPLY 1, U_BASE 1, SUPPLY 2, SUPPLY 1, SUPPLY 1, U_BASE 2, SUPPLY 1, SUPPLY 1, TEMPLE 2, SUPPLY 1, SUPPLY 1, U_SPLY 2, SUPPLY 2, SUPPLY 2, SUPPLY 2, U_SPLY 2, U_BASE 2, U_SPLY 2, SUPPLY 2, "
501,"SUPPLY 1, SUPPLY 1, U_BASE 2, U_BASE 1, SUPPLY 2, TEMPLE 1, U_SPLY 1, U_SPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 1, U_SPLY 1, U_SPLY 2, SUPPLY 1, U_BASE 2, U_SPLY 2, SUPPLY 2, SUPPLY 2, SUPPLY 2, SUPPLY 2, "
995,"TEMPLE 1, SUPPLY 1, "
411,"TEMPLE 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, U_BASE 2, U_BASE 2, SUPPLY 2, "
580,"U_BASE 1, SUPPLY 1, U_BASE 2, SUPPLY 1, SUPPLY 2, U_BASE 2, TEMPLE 2, U_SPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 1, U_SPLY 2, SUPPLY 1, SUPPLY 1, U_SPLY 2, "
482,"U_BASE 1, SUPPLY 1, SUPPLY 1, TEMPLE 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, U_BASE 2, U_SPLY 1, U_SPLY 1, SUPPLY 2, U_BASE 2, U_SPLY 2, SUPPLY 1, U_BASE 2, SUPPLY 2, "
416,"TEMPLE 1, SUPPLY 1, SUPPLY 1, U_BASE 2, SUPPLY 1, U_SPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 2, SUPPLY 2, "
469,"TEMPLE 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 1, U_BASE 2, U_SPLY 1, U_SPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 2, U_BASE 1, SUPPLY 1, SUPPLY 1, SUPPLY 2, "
655,"SUPPLY 1, TEMPLE 1, U_SPLY 1, "
654,"TEMPLE 1, SUPPLY 1, U_BASE 2, SUPPLY 1, U_BASE 2, SUPPLY 1, U_BASE 1, "
502,"TEMPLE 1, SUPPLY 1, SUPPLY 1, U_BASE 1, U_BASE 2, U_SPLY 1, SUPPLY 2, U_BASE 2, SUPPLY 2, SUPPLY 1, "
595,"SUPPLY 1, U_BASE 2, TEMPLE 2, SUPPLY 2, U_BASE 1, SUPPLY 1, U_BASE 2, SUPPLY 2, U_BASE 2, SUPPLY 2, SUPPLY 1, SUPPLY 1, SUPPLY 2, SUPPLY 2, SUPPLY 1, U_SPLY 2, U_SPLY 2, SUPPLY 1, U_SPLY 2, U_SPLY 2, U_SPLY 2, SUPPLY 2, SUPPLY 1, "
510,"TEMPLE 1, SUPPLY 1, U_BASE 1, U_SPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 1, "
469,"TEMPLE 1, SUPPLY 1, U_BASE 1, SUPPLY 1, SUPPLY 1, SUPPLY 1, U_SPLY 1, U_SPLY 1, U_SPLY 1, U_SPLY 1, SUPPLY 1, SUPPLY 1, "
698,"U_BASE 2, SUPPLY 2, U_BASE 2, U_BASE 2, SUPPLY 2, U_BASE 1, TEMPLE 1, SUPPLY 1, SUPPLY 2, "
447,"SUPPLY 1, SUPPLY 1, TEMPLE 1, SUPPLY 1, SUPPLY 1, U_BASE 2, U_BASE 1, U_BASE 2, SUPPLY 2, SUPPLY 2, U_SPLY 1, SUPPLY 1, SUPPLY 2, U_BASE 2, U_SPLY 1, SUPPLY 2, SUPPLY 1, SUPPLY 2, "
571,"TEMPLE 1, SUPPLY 1, U_BASE 2, SUPPLY 1, SUPPLY 2, U_BASE 2, U_SPLY 1, SUPPLY 1, U_SPLY 1, U_BASE 2, "
628,"U_BASE 1, SUPPLY 1, TEMPLE 1, U_BASE 2, SUPPLY 2, SUPPLY 2, SUPPLY 2, U_SPLY 2, U_SPLY 1, SUPPLY 1, SUPPLY 1, U_SPLY 1, "
602,"U_BASE 1, SUPPLY 1, SUPPLY 1, TEMPLE 1, U_BASE 2, U_SPLY 1, "
549,"SUPPLY 1, U_BASE 1, TEMPLE 1, U_SPLY 1, SUPPLY 1, SUPPLY 1, U_SPLY 1, U_SPLY 1, U_BASE 2, SUPPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 1, "
615,"SUPPLY 1, U_BASE 2, TEMPLE 1, U_SPLY 1, SUPPLY 2, U_SPLY 2, U_BASE 1, "
